n_cells,seed,strategy,correct_A,correct_B,correct_pair,correct_direction,total_decisions,pair_accuracy,side_accuracy,direction_accuracy
20,0,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,0,gt_max_lca,50,50,50,50,50,1.0,1.0,1.0
20,0,hamming,44,43,39,48,48,0.8125,0.90625,1.0
20,0,hamming_max_lca,48,46,43,51,51,0.8431372549019608,0.9215686274509803,1.0
20,0,nll,49,48,45,52,52,0.8653846153846154,0.9326923076923077,1.0
20,0,nll_max_lca,52,49,48,53,53,0.9056603773584906,0.9528301886792453,1.0
20,1,gt_min,53,53,53,53,53,1.0,1.0,1.0
20,1,gt_max_lca,51,51,51,51,51,1.0,1.0,1.0
20,1,hamming,40,44,33,51,51,0.6470588235294118,0.8235294117647058,1.0
20,1,hamming_max_lca,50,44,42,52,52,0.8076923076923077,0.9038461538461539,1.0
20,1,nll,44,45,37,52,52,0.7115384615384616,0.8557692307692307,1.0
20,1,nll_max_lca,50,48,46,52,52,0.8846153846153846,0.9423076923076923,1.0
20,2,gt_min,54,54,54,54,54,1.0,1.0,1.0
20,2,gt_max_lca,50,50,50,50,50,1.0,1.0,1.0
20,2,hamming,43,43,35,51,51,0.6862745098039216,0.8431372549019608,1.0
20,2,hamming_max_lca,46,47,42,51,51,0.8235294117647058,0.9117647058823529,1.0
20,2,nll,46,49,43,52,52,0.8269230769230769,0.9134615384615384,1.0
20,2,nll_max_lca,48,48,46,50,50,0.92,0.96,1.0
20,3,gt_min,52,52,52,52,52,1.0,1.0,1.0
20,3,gt_max_lca,48,48,48,48,48,1.0,1.0,1.0
20,3,hamming,44,42,36,50,50,0.72,0.86,1.0
20,3,hamming_max_lca,47,47,44,50,50,0.88,0.94,1.0
20,3,nll,37,43,31,49,49,0.6326530612244898,0.8163265306122449,1.0
20,3,nll_max_lca,47,49,47,49,49,0.9591836734693877,0.9795918367346939,1.0
20,4,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,4,gt_max_lca,49,49,49,49,49,1.0,1.0,1.0
20,4,hamming,43,43,36,50,50,0.72,0.86,1.0
20,4,hamming_max_lca,43,44,39,48,48,0.8125,0.90625,1.0
20,4,nll,39,47,37,49,49,0.7551020408163265,0.8775510204081632,1.0
20,4,nll_max_lca,48,47,45,50,50,0.9,0.95,1.0
20,5,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,5,gt_max_lca,49,49,49,49,49,1.0,1.0,1.0
20,5,hamming,42,40,36,46,46,0.782608695652174,0.8913043478260869,1.0
20,5,hamming_max_lca,47,49,44,52,52,0.8461538461538461,0.9230769230769231,1.0
20,5,nll,36,45,34,47,47,0.723404255319149,0.8617021276595744,1.0
20,5,nll_max_lca,51,50,49,52,52,0.9423076923076923,0.9711538461538461,1.0
20,6,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,6,gt_max_lca,50,50,50,50,50,1.0,1.0,1.0
20,6,hamming,35,45,30,50,50,0.6,0.8,1.0
20,6,hamming_max_lca,43,44,39,48,48,0.8125,0.90625,1.0
20,6,nll,40,41,35,46,46,0.7608695652173914,0.8804347826086957,1.0
20,6,nll_max_lca,46,47,45,48,48,0.9375,0.96875,1.0
20,7,gt_min,51,51,51,51,51,1.0,1.0,1.0
20,7,gt_max_lca,51,51,51,51,51,1.0,1.0,1.0
20,7,hamming,42,51,38,55,55,0.6909090909090909,0.8454545454545455,1.0
20,7,hamming_max_lca,45,44,40,49,49,0.8163265306122449,0.9081632653061225,1.0
20,7,nll,39,47,37,49,49,0.7551020408163265,0.8775510204081632,1.0
20,7,nll_max_lca,49,49,47,51,51,0.9215686274509803,0.9607843137254902,1.0
20,8,gt_min,56,56,56,56,56,1.0,1.0,1.0
20,8,gt_max_lca,54,54,54,54,54,1.0,1.0,1.0
20,8,hamming,40,42,34,48,48,0.7083333333333334,0.8541666666666666,1.0
20,8,hamming_max_lca,48,46,44,50,50,0.88,0.94,1.0
20,8,nll,47,44,40,51,51,0.7843137254901961,0.8921568627450981,1.0
20,8,nll_max_lca,50,51,50,51,51,0.9803921568627451,0.9901960784313726,1.0
20,9,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,9,gt_max_lca,48,48,48,48,48,1.0,1.0,1.0
20,9,hamming,34,44,29,49,49,0.5918367346938775,0.7959183673469388,1.0
20,9,hamming_max_lca,48,44,41,51,51,0.803921568627451,0.9019607843137255,1.0
20,9,nll,42,42,38,46,46,0.8260869565217391,0.9130434782608695,1.0
20,9,nll_max_lca,46,45,44,47,47,0.9361702127659575,0.9680851063829787,1.0
20,10,gt_min,49,49,49,49,49,1.0,1.0,1.0
20,10,gt_max_lca,48,48,48,48,48,1.0,1.0,1.0
20,10,hamming,34,43,27,50,50,0.54,0.77,1.0
20,10,hamming_max_lca,44,45,42,47,47,0.8936170212765957,0.9468085106382979,1.0
20,10,nll,43,43,37,49,49,0.7551020408163265,0.8775510204081632,1.0
20,10,nll_max_lca,49,51,49,51,51,0.9607843137254902,0.9803921568627451,1.0
20,11,gt_min,49,49,49,49,49,1.0,1.0,1.0
20,11,gt_max_lca,48,48,48,48,48,1.0,1.0,1.0
20,11,hamming,36,45,32,49,49,0.6530612244897959,0.826530612244898,1.0
20,11,hamming_max_lca,49,50,45,54,54,0.8333333333333334,0.9166666666666666,1.0
20,11,nll,42,41,35,48,48,0.7291666666666666,0.8645833333333334,1.0
20,11,nll_max_lca,48,48,47,49,49,0.9591836734693877,0.9795918367346939,1.0
20,12,gt_min,47,47,47,47,47,1.0,1.0,1.0
20,12,gt_max_lca,49,49,49,49,49,1.0,1.0,1.0
20,12,hamming,34,44,32,46,46,0.6956521739130435,0.8478260869565217,1.0
20,12,hamming_max_lca,40,42,36,43,46,0.782608695652174,0.8913043478260869,0.9347826086956522
20,12,nll,42,45,38,49,49,0.7755102040816326,0.8877551020408163,1.0
20,12,nll_max_lca,46,46,44,48,48,0.9166666666666666,0.9583333333333334,1.0
20,13,gt_min,51,51,51,51,51,1.0,1.0,1.0
20,13,gt_max_lca,52,52,52,52,52,1.0,1.0,1.0
20,13,hamming,42,42,34,50,50,0.68,0.84,1.0
20,13,hamming_max_lca,46,47,43,50,50,0.86,0.93,1.0
20,13,nll,48,48,45,51,51,0.8823529411764706,0.9411764705882353,1.0
20,13,nll_max_lca,44,44,42,46,46,0.9130434782608695,0.9565217391304348,1.0
20,14,gt_min,50,50,50,50,50,1.0,1.0,1.0
20,14,gt_max_lca,49,49,49,49,49,1.0,1.0,1.0
20,14,hamming,43,39,32,50,50,0.64,0.82,1.0
20,14,hamming_max_lca,46,45,41,50,50,0.82,0.91,1.0
20,14,nll,47,41,39,49,49,0.7959183673469388,0.8979591836734694,1.0
20,14,nll_max_lca,45,45,43,47,47,0.9148936170212766,0.9574468085106383,1.0
20,15,gt_min,52,52,52,52,52,1.0,1.0,1.0
20,15,gt_max_lca,49,49,49,49,49,1.0,1.0,1.0
20,15,hamming,39,40,30,49,49,0.6122448979591837,0.8061224489795918,1.0
20,15,hamming_max_lca,45,44,43,46,46,0.9347826086956522,0.967391304347826,1.0
20,15,nll,43,48,40,51,51,0.7843137254901961,0.8921568627450981,1.0
20,15,nll_max_lca,47,48,47,48,48,0.9791666666666666,0.9895833333333334,1.0
20,16,gt_min,53,53,53,53,53,1.0,1.0,1.0
20,16,gt_max_lca,51,51,51,51,51,1.0,1.0,1.0
20,16,hamming,40,37,29,48,48,0.6041666666666666,0.8020833333333334,1.0
20,16,hamming_max_lca,48,49,45,52,52,0.8653846153846154,0.9326923076923077,1.0
20,16,nll,41,45,36,50,50,0.72,0.86,1.0
20,16,nll_max_lca,50,48,48,50,50,0.96,0.98,1.0
20,17,gt_min,52,52,52,52,52,1.0,1.0,1.0
20,17,gt_max_lca,52,52,52,52,52,1.0,1.0,1.0
20,17,hamming,36,39,26,49,49,0.5306122448979592,0.7653061224489796,1.0
20,17,hamming_max_lca,46,46,42,50,50,0.84,0.92,1.0
20,17,nll,48,50,46,52,52,0.8846153846153846,0.9423076923076923,1.0
20,17,nll_max_lca,50,49,48,51,51,0.9411764705882353,0.9705882352941176,1.0
20,18,gt_min,48,48,48,48,48,1.0,1.0,1.0
20,18,gt_max_lca,50,50,50,50,50,1.0,1.0,1.0
20,18,hamming,38,43,30,51,51,0.5882352941176471,0.7941176470588235,1.0
20,18,hamming_max_lca,41,41,36,46,46,0.782608695652174,0.8913043478260869,1.0
20,18,nll,39,44,36,47,47,0.7659574468085106,0.8829787234042553,1.0
20,18,nll_max_lca,51,54,50,55,55,0.9090909090909091,0.9545454545454546,1.0
20,19,gt_min,51,51,51,51,51,1.0,1.0,1.0
20,19,gt_max_lca,48,48,48,48,48,1.0,1.0,1.0
20,19,hamming,45,45,39,51,51,0.7647058823529411,0.8823529411764706,1.0
20,19,hamming_max_lca,44,44,41,47,47,0.8723404255319149,0.9361702127659575,1.0
20,19,nll,46,41,38,49,49,0.7755102040816326,0.8877551020408163,1.0
20,19,nll_max_lca,49,50,49,50,50,0.98,0.99,1.0
50,0,gt_min,181,181,181,181,181,1.0,1.0,1.0
50,0,gt_max_lca,184,184,184,184,184,1.0,1.0,1.0
50,0,hamming,164,164,141,189,189,0.746031746031746,0.8677248677248677,1.0
50,0,hamming_max_lca,157,180,145,192,192,0.7552083333333334,0.8776041666666666,1.0
50,0,nll,167,168,157,178,178,0.8820224719101124,0.9410112359550562,1.0
50,0,nll_max_lca,184,181,176,189,189,0.9312169312169312,0.9656084656084656,1.0
50,1,gt_min,190,190,190,190,190,1.0,1.0,1.0
50,1,gt_max_lca,186,186,186,186,186,1.0,1.0,1.0
50,1,hamming,165,166,137,194,194,0.7061855670103093,0.8530927835051546,1.0
50,1,hamming_max_lca,164,169,153,177,180,0.85,0.925,0.9833333333333333
50,1,nll,168,179,162,184,185,0.8756756756756757,0.9378378378378378,0.9945945945945946
50,1,nll_max_lca,172,174,167,179,179,0.9329608938547486,0.9664804469273743,1.0
50,2,gt_min,191,191,191,191,191,1.0,1.0,1.0
50,2,gt_max_lca,188,188,188,188,188,1.0,1.0,1.0
50,2,hamming,162,154,130,186,186,0.6989247311827957,0.8494623655913979,1.0
50,2,hamming_max_lca,167,173,149,191,191,0.7801047120418848,0.8900523560209425,1.0
50,2,nll,168,177,158,186,187,0.8449197860962567,0.9224598930481284,0.9946524064171123
50,2,nll_max_lca,183,182,175,190,190,0.9210526315789473,0.9605263157894737,1.0
50,3,gt_min,189,189,189,189,189,1.0,1.0,1.0
50,3,gt_max_lca,182,182,182,182,182,1.0,1.0,1.0
50,3,hamming,155,166,136,186,186,0.7311827956989247,0.8629032258064516,1.0
50,3,hamming_max_lca,175,171,157,189,189,0.8306878306878307,0.9153439153439153,1.0
50,3,nll,172,179,166,185,185,0.8972972972972973,0.9486486486486486,1.0
50,3,nll_max_lca,180,181,173,188,188,0.9202127659574468,0.9601063829787234,1.0
50,4,gt_min,187,187,187,187,187,1.0,1.0,1.0
50,4,gt_max_lca,186,186,186,186,186,1.0,1.0,1.0
50,4,hamming,158,166,140,186,186,0.7526881720430108,0.8709677419354839,1.0
50,4,hamming_max_lca,169,161,145,185,185,0.7837837837837838,0.8918918918918919,1.0
50,4,nll,165,177,155,178,188,0.824468085106383,0.9095744680851063,0.9468085106382979
50,4,nll_max_lca,178,184,169,187,193,0.8756476683937824,0.9378238341968912,0.9689119170984456
50,5,gt_min,191,191,191,191,191,1.0,1.0,1.0
50,5,gt_max_lca,195,195,195,195,195,1.0,1.0,1.0
50,5,hamming,150,162,134,181,181,0.7403314917127072,0.861878453038674,1.0
50,5,hamming_max_lca,165,174,151,184,188,0.8031914893617021,0.901595744680851,0.9787234042553191
50,5,nll,167,172,150,189,189,0.7936507936507936,0.8968253968253969,1.0
50,5,nll_max_lca,177,173,167,183,183,0.912568306010929,0.9562841530054644,1.0
50,6,gt_min,185,185,185,185,185,1.0,1.0,1.0
50,6,gt_max_lca,188,188,188,188,188,1.0,1.0,1.0
50,6,hamming,154,169,136,187,187,0.7272727272727273,0.8636363636363636,1.0
50,6,hamming_max_lca,173,180,163,190,190,0.8578947368421053,0.9289473684210526,1.0
50,6,nll,176,166,154,188,188,0.8191489361702128,0.9095744680851063,1.0
50,6,nll_max_lca,183,183,177,189,189,0.9365079365079365,0.9682539682539683,1.0
50,7,gt_min,179,179,179,179,179,1.0,1.0,1.0
50,7,gt_max_lca,182,182,182,182,182,1.0,1.0,1.0
50,7,hamming,161,178,145,195,195,0.7435897435897436,0.8692307692307693,1.0
50,7,hamming_max_lca,169,171,153,187,187,0.8181818181818182,0.9090909090909091,1.0
50,7,nll,166,169,145,185,190,0.7631578947368421,0.881578947368421,0.9736842105263158
50,7,nll_max_lca,189,187,184,192,192,0.9583333333333334,0.9791666666666666,1.0
50,8,gt_min,186,186,186,186,186,1.0,1.0,1.0
50,8,gt_max_lca,186,186,186,186,186,1.0,1.0,1.0
50,8,hamming,158,175,144,192,192,0.75,0.8671875,1.0
50,8,hamming_max_lca,155,162,141,176,176,0.8011363636363636,0.9005681818181818,1.0
50,8,nll,176,181,170,181,187,0.9090909090909091,0.9545454545454546,0.9679144385026738
50,8,nll_max_lca,174,181,168,177,187,0.8983957219251337,0.9491978609625669,0.946524064171123
50,9,gt_min,187,187,187,187,187,1.0,1.0,1.0
50,9,gt_max_lca,185,185,185,185,185,1.0,1.0,1.0
50,9,hamming,165,162,139,193,193,0.7202072538860104,0.8471502590673575,1.0
50,9,hamming_max_lca,175,161,147,189,189,0.7777777777777778,0.8888888888888888,1.0
50,9,nll,172,173,162,184,184,0.8804347826086957,0.9375,1.0
50,9,nll_max_lca,182,180,177,185,185,0.9567567567567568,0.9783783783783784,1.0
50,10,gt_min,179,179,179,179,179,1.0,1.0,1.0
50,10,gt_max_lca,184,184,184,184,184,1.0,1.0,1.0
50,10,hamming,163,176,148,187,191,0.774869109947644,0.887434554973822,0.9790575916230366
50,10,hamming_max_lca,170,161,149,182,182,0.8186813186813187,0.9093406593406593,1.0
50,10,nll,164,167,149,182,182,0.8186813186813187,0.9093406593406593,1.0
50,10,nll_max_lca,183,188,181,190,190,0.9526315789473684,0.9763157894736842,1.0
50,11,gt_min,192,192,192,192,192,1.0,1.0,1.0
50,11,gt_max_lca,177,177,177,177,177,1.0,1.0,1.0
50,11,hamming,155,163,135,185,185,0.7297297297297297,0.8594594594594595,1.0
50,11,hamming_max_lca,174,178,165,187,187,0.8823529411764706,0.9411764705882353,1.0
50,11,nll,176,172,160,188,188,0.851063829787234,0.925531914893617,1.0
50,11,nll_max_lca,181,181,177,185,185,0.9567567567567568,0.9783783783783784,1.0
50,12,gt_min,182,182,182,182,182,1.0,1.0,1.0
50,12,gt_max_lca,195,195,195,195,195,1.0,1.0,1.0
50,12,hamming,158,166,135,190,190,0.7105263157894737,0.8526315789473684,1.0
50,12,hamming_max_lca,161,158,138,181,181,0.7624309392265194,0.8812154696132597,1.0
50,12,nll,168,175,158,178,185,0.8540540540540541,0.927027027027027,0.9621621621621622
50,12,nll_max_lca,181,178,172,187,187,0.9197860962566845,0.9598930481283422,1.0
50,13,gt_min,187,187,187,187,187,1.0,1.0,1.0
50,13,gt_max_lca,193,193,193,193,193,1.0,1.0,1.0
50,13,hamming,163,156,132,187,187,0.7058823529411765,0.8529411764705882,1.0
50,13,hamming_max_lca,179,180,162,197,197,0.8223350253807107,0.9111675126903553,1.0
50,13,nll,168,187,167,181,189,0.8835978835978836,0.9391534391534392,0.9576719576719577
50,13,nll_max_lca,182,185,176,187,191,0.9214659685863874,0.9607329842931938,0.9790575916230366
50,14,gt_min,179,179,179,179,179,1.0,1.0,1.0
50,14,gt_max_lca,190,190,190,190,190,1.0,1.0,1.0
50,14,hamming,153,178,140,193,193,0.7253886010362695,0.8575129533678757,1.0
50,14,hamming_max_lca,164,165,147,182,182,0.8076923076923077,0.9038461538461539,1.0
50,14,nll,172,174,159,188,188,0.8457446808510638,0.9202127659574468,1.0
50,14,nll_max_lca,181,179,176,184,184,0.9565217391304348,0.9782608695652174,1.0
50,15,gt_min,188,188,188,188,188,1.0,1.0,1.0
50,15,gt_max_lca,186,186,186,186,186,1.0,1.0,1.0
50,15,hamming,168,153,139,184,184,0.7554347826086957,0.8722826086956522,1.0
50,15,hamming_max_lca,173,159,146,186,186,0.7849462365591398,0.8924731182795699,1.0
50,15,nll,171,172,153,187,191,0.8010471204188482,0.8979057591623036,0.9790575916230366
50,15,nll_max_lca,175,185,170,180,190,0.8947368421052632,0.9473684210526315,0.9473684210526315
50,16,gt_min,190,190,190,190,190,1.0,1.0,1.0
50,16,gt_max_lca,180,180,180,180,180,1.0,1.0,1.0
50,16,hamming,164,177,149,185,192,0.7760416666666666,0.8880208333333334,0.9635416666666666
50,16,hamming_max_lca,177,179,167,189,189,0.8835978835978836,0.9417989417989417,1.0
50,16,nll,168,175,159,185,185,0.8594594594594595,0.927027027027027,1.0
50,16,nll_max_lca,184,186,182,188,188,0.9680851063829787,0.9840425531914894,1.0
50,17,gt_min,184,184,184,184,184,1.0,1.0,1.0
50,17,gt_max_lca,187,187,187,187,187,1.0,1.0,1.0
50,17,hamming,160,157,138,179,180,0.7666666666666667,0.8805555555555555,0.9944444444444445
50,17,hamming_max_lca,168,166,151,183,183,0.825136612021858,0.912568306010929,1.0
50,17,nll,183,180,172,192,192,0.8958333333333334,0.9453125,1.0
50,17,nll_max_lca,184,187,182,189,189,0.9629629629629629,0.9814814814814815,1.0
50,18,gt_min,198,198,198,198,198,1.0,1.0,1.0
50,18,gt_max_lca,178,178,178,178,178,1.0,1.0,1.0
50,18,hamming,146,168,134,185,185,0.7243243243243244,0.8486486486486486,1.0
50,18,hamming_max_lca,179,181,160,196,200,0.8,0.9,0.98
50,18,nll,166,175,157,184,184,0.8532608695652174,0.9266304347826086,1.0
50,18,nll_max_lca,181,186,177,190,190,0.9315789473684211,0.9657894736842105,1.0
50,19,gt_min,178,178,178,178,178,1.0,1.0,1.0
50,19,gt_max_lca,187,187,187,187,187,1.0,1.0,1.0
50,19,hamming,151,164,133,185,185,0.7189189189189189,0.8513513513513513,1.0
50,19,hamming_max_lca,175,180,163,192,192,0.8489583333333334,0.9244791666666666,1.0
50,19,nll,181,180,172,189,189,0.91005291005291,0.955026455026455,1.0
50,19,nll_max_lca,183,180,177,186,186,0.9516129032258065,0.9758064516129032,1.0
100,0,gt_min,476,476,476,476,476,1.0,1.0,1.0
100,0,gt_max_lca,477,477,477,477,477,1.0,1.0,1.0
100,0,hamming,415,440,367,493,493,0.744421906693712,0.8671399594320487,1.0
100,0,hamming_max_lca,454,457,420,491,491,0.8553971486761711,0.9276985743380856,1.0
100,0,nll,438,440,399,480,480,0.83125,0.9145833333333333,1.0
100,0,nll_max_lca,468,466,454,480,480,0.9458333333333333,0.9729166666666667,1.0
100,1,gt_min,476,476,476,476,476,1.0,1.0,1.0
100,1,gt_max_lca,477,477,477,477,477,1.0,1.0,1.0
100,1,hamming,414,433,372,480,480,0.775,0.8822916666666667,1.0
100,1,hamming_max_lca,445,445,405,485,485,0.8350515463917526,0.9175257731958762,1.0
100,1,nll,428,435,385,479,479,0.8037578288100209,0.9008350730688935,1.0
100,1,nll_max_lca,458,464,448,474,474,0.9451476793248945,0.9725738396624473,1.0
100,2,gt_min,487,487,487,487,487,1.0,1.0,1.0
100,2,gt_max_lca,491,491,491,491,491,1.0,1.0,1.0
100,2,hamming,412,454,385,487,487,0.7905544147843943,0.8891170431211499,1.0
100,2,hamming_max_lca,430,442,393,479,479,0.8204592901878914,0.9102296450939458,1.0
100,2,nll,417,446,376,463,488,0.7704918032786885,0.8842213114754098,0.9487704918032787
100,2,nll_max_lca,466,473,459,480,480,0.95625,0.978125,1.0
100,3,gt_min,487,487,487,487,487,1.0,1.0,1.0
100,3,gt_max_lca,481,481,481,481,481,1.0,1.0,1.0
100,3,hamming,435,428,383,484,484,0.7913223140495868,0.8915289256198347,1.0
100,3,hamming_max_lca,434,450,406,478,478,0.8493723849372385,0.9246861924686193,1.0
100,3,nll,446,444,410,482,482,0.8506224066390041,0.9232365145228216,1.0
100,3,nll_max_lca,465,466,455,476,476,0.9558823529411765,0.9779411764705882,1.0
100,4,gt_min,489,489,489,489,489,1.0,1.0,1.0
100,4,gt_max_lca,480,480,480,480,480,1.0,1.0,1.0
100,4,hamming,409,410,360,465,465,0.7741935483870968,0.8806451612903226,1.0
100,4,hamming_max_lca,432,440,399,473,473,0.8435517970401691,0.9217758985200846,1.0
100,4,nll,449,440,407,482,482,0.8443983402489627,0.9221991701244814,1.0
100,4,nll_max_lca,475,481,468,488,488,0.9590163934426229,0.9795081967213115,1.0
100,5,gt_min,473,473,473,473,473,1.0,1.0,1.0
100,5,gt_max_lca,477,477,477,477,477,1.0,1.0,1.0
100,5,hamming,417,437,373,489,489,0.7627811860940695,0.8732106339468303,1.0
100,5,hamming_max_lca,408,436,379,465,465,0.8150537634408602,0.9075268817204301,1.0
100,5,nll,423,443,397,470,470,0.8446808510638298,0.9212765957446809,1.0
100,5,nll_max_lca,456,452,440,468,468,0.9401709401709402,0.9700854700854701,1.0
100,6,gt_min,476,476,476,476,476,1.0,1.0,1.0
100,6,gt_max_lca,485,485,485,485,485,1.0,1.0,1.0
100,6,hamming,423,436,389,474,474,0.820675105485232,0.9061181434599156,1.0
100,6,hamming_max_lca,441,442,403,480,480,0.8395833333333333,0.9197916666666667,1.0
100,6,nll,445,455,409,491,491,0.8329938900203666,0.9164969450101833,1.0
100,6,nll_max_lca,466,465,455,476,476,0.9558823529411765,0.9779411764705882,1.0
100,7,gt_min,471,471,471,471,471,1.0,1.0,1.0
100,7,gt_max_lca,476,476,476,476,476,1.0,1.0,1.0
100,7,hamming,414,428,368,483,483,0.7619047619047619,0.8716356107660456,1.0
100,7,hamming_max_lca,437,447,409,475,475,0.8610526315789474,0.9305263157894736,1.0
100,7,nll,424,424,385,466,466,0.8261802575107297,0.9098712446351931,1.0
100,7,nll_max_lca,481,485,463,503,503,0.9204771371769384,0.9602385685884692,1.0
100,8,gt_min,492,492,492,492,492,1.0,1.0,1.0
100,8,gt_max_lca,483,483,483,483,483,1.0,1.0,1.0
100,8,hamming,430,430,376,484,484,0.7768595041322314,0.8884297520661157,1.0
100,8,hamming_max_lca,424,440,387,477,477,0.8113207547169812,0.9056603773584906,1.0
100,8,nll,450,453,420,484,484,0.8677685950413223,0.9328512396694215,1.0
100,8,nll_max_lca,476,475,455,496,496,0.9173387096774194,0.9586693548387096,1.0
100,9,gt_min,484,484,484,484,484,1.0,1.0,1.0
100,9,gt_max_lca,497,497,497,497,497,1.0,1.0,1.0
100,9,hamming,427,408,365,479,479,0.7620041753653445,0.8716075156576201,1.0
100,9,hamming_max_lca,448,441,409,480,480,0.8520833333333333,0.9260416666666667,1.0
100,9,nll,426,439,392,469,478,0.8200836820083682,0.9048117154811716,0.9811715481171548
100,9,nll_max_lca,442,435,419,458,458,0.9148471615720524,0.9574235807860262,1.0
100,10,gt_min,483,483,483,483,483,1.0,1.0,1.0
100,10,gt_max_lca,488,488,488,488,488,1.0,1.0,1.0
100,10,hamming,414,418,363,475,475,0.7642105263157895,0.8757894736842106,1.0
100,10,hamming_max_lca,436,435,394,477,477,0.8259958071278826,0.9129979035639413,1.0
100,10,nll,429,424,385,470,470,0.8191489361702128,0.9074468085106383,1.0
100,10,nll_max_lca,470,470,457,483,483,0.9461697722567288,0.9730848861283644,1.0
100,11,gt_min,491,491,491,491,491,1.0,1.0,1.0
100,11,gt_max_lca,476,476,476,476,476,1.0,1.0,1.0
100,11,hamming,407,424,364,472,472,0.7711864406779662,0.8802966101694916,1.0
100,11,hamming_max_lca,431,449,398,482,482,0.8257261410788381,0.9128630705394191,1.0
100,11,nll,432,446,391,488,488,0.8012295081967213,0.8995901639344263,1.0
100,11,nll_max_lca,453,470,443,480,480,0.9229166666666667,0.9614583333333333,1.0
100,12,gt_min,462,462,462,462,462,1.0,1.0,1.0
100,12,gt_max_lca,471,471,471,471,471,1.0,1.0,1.0
100,12,hamming,398,426,352,480,480,0.7333333333333333,0.8583333333333333,1.0
100,12,hamming_max_lca,447,449,415,481,481,0.8627858627858628,0.9313929313929314,1.0
100,12,nll,428,441,394,475,475,0.8294736842105264,0.9147368421052632,1.0
100,12,nll_max_lca,474,482,461,495,495,0.9313131313131313,0.9656565656565657,1.0
100,13,gt_min,475,475,475,475,475,1.0,1.0,1.0
100,13,gt_max_lca,476,476,476,476,476,1.0,1.0,1.0
100,13,hamming,400,431,369,466,466,0.7918454935622318,0.8916309012875536,1.0
100,13,hamming_max_lca,425,440,379,486,486,0.779835390946502,0.8899176954732511,1.0
